epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5799.27,0.71117,3.43683,0.13837,0.50902,0.91942,0.95804,0.92261,0.98404,0.70831,0.66541,0.52571,0.43855,0.14058,1.02311,5.02098,0.06704,0.63165,1.08898,0.000511769,0.000511769,0.000511769
72,5879.69,0.73556,3.61301,0.15805,0.52788,0.96529,0.90796,0.94429,0.98278,0.69519,0.66666,0.50786,0.43776,0.15983,1.01512,4.96992,0.06157,0.63278,1.07248,0.000495266,0.000495266,0.000495266
73,5960.27,0.72158,3.53574,0.15085,0.50736,0.93287,0.90019,0.94361,0.97088,0.69622,0.69288,0.50571,0.46125,0.16066,0.99846,4.91651,0.0599,0.62066,1.07112,0.000478762,0.000478762,0.000478762
74,6040.58,0.73555,3.49061,0.13431,0.50307,0.94793,0.8656,0.96084,0.96523,0.68957,0.62108,0.50204,0.44703,0.16458,0.97865,4.89606,0.05788,0.61447,1.06695,0.000462259,0.000462259,0.000462259
75,6120.97,0.73775,3.47147,0.14514,0.5174,0.95301,0.86456,0.97846,0.97503,0.71196,0.61998,0.47214,0.39825,0.15048,0.96807,4.89873,0.06084,0.61646,1.05774,0.000445756,0.000445756,0.000445756
76,6201.49,0.7583,3.61141,0.13626,0.53753,0.97946,0.89611,0.99683,0.97812,0.72814,0.68779,0.50786,0.46154,0.16876,0.96937,4.82714,0.06302,0.60513,1.0539,0.000429253,0.000429253,0.000429253
77,6282.01,0.69433,3.32022,0.16164,0.50451,0.93928,0.85336,0.98,0.96939,0.73249,0.76156,0.56143,0.53364,0.18871,0.95423,4.68972,0.05763,0.61137,1.04254,0.000412749,0.000412749,0.000412749
78,6362.43,0.70834,3.57611,0.14649,0.51376,0.94887,0.85189,0.98,0.97412,0.72828,0.78265,0.57929,0.56892,0.19506,0.98238,4.71785,0.05584,0.61348,1.05554,0.000396246,0.000396246,0.000396246
79,6442.84,0.69841,3.23541,0.12787,0.51282,0.94414,0.88311,0.98,0.97953,0.71685,0.73077,0.54357,0.4969,0.19012,0.98929,4.76034,0.05641,0.59313,1.06308,0.000379743,0.000379743,0.000379743
80,6523.41,0.69085,3.43253,0.13591,0.48142,0.9384,0.9344,0.94924,0.98081,0.71845,0.70219,0.52571,0.49422,0.17703,0.99625,4.82382,0.05891,0.60143,1.05961,0.000363239,0.000363239,0.000363239
81,6603.81,0.70792,3.14305,0.14575,0.49431,0.94036,0.94607,0.97684,0.98201,0.72836,0.68679,0.52786,0.47909,0.16076,0.99834,4.8813,0.06586,0.60335,1.0584,0.000346736,0.000346736,0.000346736
82,6684.34,0.70303,3.28942,0.15681,0.49811,0.94664,0.89925,0.99816,0.96742,0.7349,0.6386,0.49346,0.44492,0.18575,0.96071,4.85037,0.07029,0.5932,1.05111,0.000330233,0.000330233,0.000330233
83,6764.64,0.69521,3.18911,0.14202,0.48438,0.92465,0.89737,1,0.9716,0.72971,0.64476,0.4783,0.43319,0.16829,0.96797,4.93162,0.07212,0.57461,1.06091,0.000313729,0.000313729,0.000313729
84,6845.07,0.6451,3.2123,0.13072,0.4593,0.91627,0.91757,0.96214,0.97577,0.70281,0.5918,0.5029,0.41524,0.15794,1.00409,4.9585,0.0765,0.58266,1.07788,0.000297226,0.000297226,0.000297226
85,6925.92,0.66859,3.05041,0.13328,0.46903,0.92243,0.91766,0.96157,0.9739,0.7047,0.58795,0.47214,0.38878,0.1562,1.01752,5.01485,0.0813,0.58649,1.07735,0.000280723,0.000280723,0.000280723
86,7006.43,0.6545,3.05726,0.13721,0.46809,0.91576,0.93298,0.95863,0.97643,0.70671,0.64208,0.49214,0.42979,0.16532,0.99064,5.00285,0.08388,0.59168,1.06485,0.00026422,0.00026422,0.00026422
87,7087.03,0.68981,3.15292,0.12105,0.46913,0.9419,0.9359,0.90745,0.97422,0.7202,0.61826,0.47429,0.41834,0.1636,0.96882,4.98394,0.07831,0.58301,1.05822,0.000247716,0.000247716,0.000247716
88,7167.49,0.69651,3.25962,0.13459,0.48394,0.95141,0.95851,0.93266,0.98649,0.71414,0.6265,0.47214,0.3981,0.14681,0.99414,5.06229,0.07762,0.58516,1.06518,0.000231213,0.000231213,0.000231213
89,7248.01,0.66453,3.07558,0.12609,0.45175,0.91315,0.97144,0.92068,0.98619,0.7121,0.62659,0.47214,0.38828,0.14315,0.98924,5.04426,0.07612,0.57234,1.06469,0.00021471,0.00021471,0.00021471
90,7328.24,0.60998,2.84564,0.1223,0.433,0.89718,0.97715,0.90309,0.98037,0.72732,0.59964,0.45429,0.37644,0.14723,0.97083,5.00078,0.07289,0.56451,1.05449,0.000198206,0.000198206,0.000198206
91,7408.32,0.56,2.42248,0.04235,0.40864,0.88338,0.92711,0.97464,0.98344,0.72469,0.59049,0.45429,0.37229,0.14935,0.98109,5.02026,0.06832,0.56237,1.05999,0.000181703,0.000181703,0.000181703
92,7488.29,0.56111,2.4116,0.06632,0.40222,0.92248,0.90659,0.96846,0.98203,0.71244,0.57477,0.45429,0.3727,0.15393,0.98053,5.00477,0.06784,0.57306,1.05832,0.0001652,0.0001652,0.0001652
93,7568.39,0.57692,2.35522,0.04624,0.40276,0.87729,0.929,0.94903,0.98196,0.70746,0.5965,0.45429,0.35907,0.16177,0.95947,4.93079,0.06722,0.57533,1.0407,0.000148696,0.000148696,0.000148696
94,7648.55,0.55203,2.30984,0.04628,0.39025,0.88947,0.95494,0.95299,0.99055,0.73276,0.59981,0.45429,0.36588,0.16026,0.96116,4.94364,0.06616,0.57591,1.03831,0.000132193,0.000132193,0.000132193
95,7728.47,0.52625,2.27644,0.04275,0.38891,0.88104,0.94871,0.96853,0.99179,0.72784,0.60087,0.45429,0.36095,0.16077,0.96695,4.92626,0.06557,0.5855,1.04168,0.00011569,0.00011569,0.00011569
96,7808.4,0.54381,2.21385,0.03465,0.38172,0.9006,0.912,0.94991,0.98297,0.72276,0.5763,0.43643,0.35055,0.15545,0.97234,4.94337,0.06158,0.59354,1.0461,9.91865e-05,9.91865e-05,9.91865e-05
97,7888.16,0.5589,2.36836,0.04492,0.40209,0.86837,0.91513,0.94214,0.9825,0.72805,0.57681,0.43643,0.36123,0.16137,0.97201,4.9247,0.05901,0.59334,1.04675,8.26832e-05,8.26832e-05,8.26832e-05
98,7968.09,0.54808,2.21976,0.05404,0.38723,0.89296,0.97875,0.92376,0.98885,0.72517,0.59938,0.45429,0.37964,0.15967,0.96694,4.90586,0.05701,0.58936,1.04443,6.61799e-05,6.61799e-05,6.61799e-05
99,8048.14,0.53766,2.20597,0.06099,0.38681,0.87523,0.97746,0.9243,0.98805,0.73008,0.62473,0.47214,0.4016,0.16233,0.96673,4.89965,0.05698,0.59358,1.04345,4.96766e-05,4.96766e-05,4.96766e-05
100,8127.97,0.50946,2.14017,0.04151,0.37132,0.86582,0.94906,0.94578,0.98922,0.73837,0.62446,0.47214,0.40068,0.16025,0.96605,4.89384,0.05676,0.59781,1.04314,3.31733e-05,3.31733e-05,3.31733e-05
